"command","parser_support","handler_present","handler_fn","default_tracked","tests_referencing","risk_hint","test_files"
"stats","dedicated","true","handleStatsCommand","true","10","low","c:/Users/dbroo/azdo/coresplorer/e2e/insplector/field-lineage.spec.ts; c:/Users/dbroo/azdo/coresplorer/e2e/insplector/visual.spec.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/analyzer.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/extract.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/scope-aware.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/test-builder.demo.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/model/hooks/useFieldLineage.test.ts"
"strcat","dedicated","true","handleStrcatCommand","true","3","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/debug-commands.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"streamstats","unknown","true","handleStatsCommand","true","1","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"table","dedicated","true","handleTableCommand","true","6","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/analyzer.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/extract.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/scope-aware.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts"
"tags","dedicated","true","handleTagsCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"tail","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"timechart","unknown","true","handleStatsCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/analyzer.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"timewrap","dedicated","true","handleTimewrapCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"top","dedicated","true","handleTopCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"transaction","dedicated","true","handleTransactionCommand","true","2","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts"
